date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:49	24682/24682	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:59:46%20GMT	https://minaslap.net/login/index.php	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/login/index.html	(from )
23:59:50	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2004:59:47%20GMT	https://minaslap.net/robots.txt		(from )
23:59:50	3627/3627	---MCZ	200	added ('OK')	text/css	etag:%22b9bc567c469e2872cf3bbb14603342a72de2509b%22	https://minaslap.net/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple-min.css	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/theme/combo77f0	(from https://minaslap.net/login/index.php)
23:59:51	28928/28928	---MCZ	200	added ('OK')	application/javascript	etag:%22ceeb6471d9c1c3f841eac88cbfd04e0e591537f1%22	https://minaslap.net/lib/javascript.php/1564417682/lib/javascript-static.js	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/lib/javascript.php/1564417682/lib/javascript.php	(from https://minaslap.net/login/index.php)
23:59:51	46403/46403	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jul%202019%2016:29:33%20GMT	https://minaslap.net/pluginfile.php/1/core_admin/logo/0x200/1564417682/Logo%20MinasLAP-3%20(1).png	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/pluginfile.php/1/core_admin/logo/0x200/1564417682/Logo%20MinasLAP-3%20(1).png	(from https://minaslap.net/login/index.php)
23:59:52	65418/65418	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:59:49%20GMT	https://minaslap.net/login/signup.php	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/login/signup.html	(from https://minaslap.net/login/index.php)
23:59:52	24506/24506	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Aug%202019%2004:59:49%20GMT	https://minaslap.net/login/forgot_password.php	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/login/forgot_password.html	(from https://minaslap.net/login/index.php)
23:59:53	17621/17621	---MCZ	200	added ('OK')	application/javascript	etag:%2268e7732bfe5cc9242406b8dffa74f89438a40659%22	https://minaslap.net/lib/javascript.php/1564417682/lib/requirejs/require.min.js	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/lib/javascript.php/1564417682/lib/requirejs/javascript.php	(from https://minaslap.net/login/index.php)
23:59:53	298987/298987	---MCZ	200	added ('OK')	application/javascript	etag:%226659175aa9a04dd1db30690fee68c8f34d3fbfb8%22	https://minaslap.net/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple-min.js&rollup/1564417682/mcore-min.js	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/theme/combo48ee	(from https://minaslap.net/login/index.php)
23:59:53	176/176	---M--	200	added ('OK')	image/png	etag:%22ab96b41a93a2c084c30e929565959c3223af403e%22	https://minaslap.net/theme/yui_image.php?file=3.17.2/sprite_icons.png	C:/Users/Usuario/Desktop/sistemas%20Operativos/intento2/minaslap.net/theme/sprite_icons488d.png	(from https://minaslap.net/theme/yui_combo.php?rollup/3.17.2/yui-moodlesimple-min.css)
